year,nominal_gdp,growth_rate
1,22836700.00,N/A
2,18146603.79,-20.54
3,19087149.08,5.18
4,19892530.48,4.22
5,20658106.66,3.85
6,21139549.10,2.33
7,21396771.47,1.22
8,21588372.37,0.90
9,22156779.55,2.63
10,21973184.62,-0.83
11,22121017.18,0.67
12,22451101.33,1.49
13,22394576.84,-0.25
14,22354628.77,-0.18
15,22007417.92,-1.55
16,21951145.25,-0.26
17,21748506.02,-0.92
18,21828822.89,0.37
19,21583347.12,-1.12
20,21569023.75,-0.07
