Month,Saving_Rate
2001.01,0.0
2001.02,0.31962322708636287
2001.03,0.19851834094436377
2001.04,0.16885430044892008
2001.05,0.17630580080986474
2001.06,0.17016593306173253
2001.07,0.18089129904678572
2001.08,0.16364395680852106
2001.09,0.1491171637251062
2001.10,0.15247516702995667
2001.11,0.13774570429671237
2001.12,0.16008481931725876
2002.01,0.13242886742026566
2002.02,0.1696157722943945
2002.03,0.12483213623175517
2002.04,0.13748583166441658
2002.05,0.10279732921021723
2002.06,0.11455298316411593
2002.07,0.11698691996217611
2002.08,0.15891539678326835
2002.09,0.13390115481780993
2002.10,0.1318041319266548
2002.11,0.1336375272432548
2002.12,0.2245933041445644
2003.01,0.17509061878519774
2003.02,0.15149243880327648
2003.03,0.15144510023494848
2003.04,0.14924928123555123
2003.05,0.146305990461636
2003.06,0.13704573198692988
2003.07,0.17310312666087582
2003.08,0.14758049343088975
2003.09,0.1456225577380684
2003.10,0.1332457436483832
2003.11,0.1678019392986565
2003.12,0.128430245515306
2004.01,0.12895072878105424
2004.02,0.1287921970239416
2004.03,0.14611502889888628
2004.04,0.12620373934940401
2004.05,0.12340207305626792
2004.06,0.13102768521575828
2004.07,0.12075106727382373
2004.08,0.12838297530590187
2004.09,0.13485490189129445
2004.10,0.11547411802370455
2004.11,0.12301892504204746
2004.12,0.11201328799922204
2005.01,0.11148622874155131
2005.02,0.11941335255837032
2005.03,0.11115503130774337
2005.04,0.12010442454650887
2005.05,0.10577523556955028
2005.06,0.1088533699435965
2005.07,0.10941644287202966
2005.08,0.10782335393755554
2005.09,0.09716702248936555
2005.10,0.10462779858153266
2005.11,0.09518057277280047
2005.12,0.09389631013620439
2006.01,0.09345790436128078
2006.02,0.0941217867916289
2006.03,0.10367008744759794
2006.04,0.09180609841860156
2006.05,0.09165254926513638
2006.06,0.10007644295388303
2006.07,0.08901937404245701
2006.08,0.0890116349484804
2006.09,0.08894779411012445
2006.10,0.09580286782980577
2006.11,0.08644610654602597
2006.12,0.08644836371497128
2007.01,0.12397690452060332
2007.02,0.08592163562867695
2007.03,0.0866275949468652
2007.04,0.09148058321729785
2007.05,0.11193673211720319
2007.06,0.10117235790397999
2007.07,0.10733791840937898
2007.08,0.09351402443159382
2007.09,0.12052730049122175
2007.10,0.08364007365726993
2007.11,0.09295153343628125
2007.12,0.08904479404959044
2008.01,0.08448698541707672
2008.02,0.12343882129501699
2008.03,0.09901212579358058
2008.04,0.09749951632526849
2008.05,0.12459585557227217
2008.06,0.12123692188259194
2008.07,0.04918690564962396
2008.08,0.10980967397846873
2008.09,0.09153371692471542
2008.10,0.08186284564109479
2008.11,0.1289249705579142
2008.12,0.07898712972116888
2009.01,0.07618473312574302
2009.02,0.11217910050200232
2009.03,0.09326676354459522
2009.04,0.09928059369760078
2009.05,0.062081223283206755
2009.06,0.11091823055724669
2009.07,0.04672553506585135
2009.08,0.08522265992906758
2009.09,0.0910615776159392
2009.10,0.06749049094048008
2009.11,0.065953989542986
2009.12,0.07551634484727396
2010.01,0.07596583221008446
2010.02,0.09557313169058872
2010.03,0.0836666025246302
2010.04,0.1219780065906347
2010.05,0.09076166370657211
2010.06,0.0732032027918041
2010.07,0.09990282453559221
2010.08,0.10465430677666195
2010.09,0.08688491502825434
2010.10,0.09705820921227816
2010.11,0.09355929028191175
2010.12,0.1282722213584636
2011.01,0.06900859497922962
2011.02,0.12127851424040753
2011.03,0.108476110134874
2011.04,0.08347749655513509
2011.05,0.03893725434058402
2011.06,0.15808810006490856
2011.07,0.1242328767144867
2011.08,0.13461727079581565
2011.09,0.11870165171921061
2011.10,0.06303806253617597
2011.11,0.11182431734582478
2011.12,0.06205316320819559
2012.01,0.12863054945906782
2012.02,0.08366446137871769
2012.03,0.10251906120722167
2012.04,0.10774227222561733
2012.05,0.07918182706905254
2012.06,0.09477895880382015
2012.07,0.05539256114327338
2012.08,0.0971045607103943
2012.09,0.117071732691014
2012.10,0.1140952715754932
2012.11,0.002529718446621391
2012.12,0.10794970429042705
2013.01,0.09355226157211663
2013.02,0.05936100610281955
2013.03,0.13068973054030092
2013.04,0.12305945650260124
2013.05,0.12597485381211154
2013.06,0.07761396622192675
2013.07,0.05813161596807908
2013.08,0.09625713387937267
2013.09,0.10250500913718102
2013.10,0.11476320683555001
2013.11,0.06693692651122567
2013.12,0.059295942147020025
2014.01,0.05919601063663147
2014.02,0.10498557903100496
2014.03,0.08801513711418416
2014.04,0.09527889316732141
2014.05,0.06812597192537825
2014.06,0.13922795859354728
2014.07,0.08530983773699208
2014.08,0.04015774779950374
2014.09,0.1060726984271332
2014.10,0.10370047336521002
2014.11,0.08596850330993848
2014.12,0.11501710684752377
2015.01,0.038602019981198395
2015.02,0.10217053711695165
2015.03,0.058832818191273575
2015.04,0.12092399971280164
2015.05,0.10508783918347502
2015.06,0.09557740772403438
2015.07,0.10143799830771648
2015.08,0.13080407206061664
2015.09,0.11372461508799067
2015.10,0.10054166292744691
2015.11,0.15541068996050508
2015.12,0.09017801637460046
2016.01,0.0921774212427637
2016.02,0.11765047983246052
2016.03,0.13995670159712348
2016.04,0.08165237951770646
2016.05,0.10583796071337874
2016.06,0.11924016850133494
2016.07,0.08853214514300706
2016.08,0.08847535583605075
2016.09,0.13893233876117467
2016.10,0.0875912316912999
2016.11,0.06562701970002965
2016.12,0.09303090784774704
2017.01,0.13552064127113478
2017.02,0.15422337294767613
2017.03,0.12772285305565614
2017.04,0.14341922636904894
2017.05,0.07724784275281134
2017.06,0.12367791519361634
2017.07,0.12389646173451667
