Month,Saving_Rate
2001.01,0.0
2001.02,0.8727015614213474
2001.03,0.4991283850136303
2001.04,0.28107885404600574
2001.05,0.2222946078320605
2001.06,0.1333633132101674
2001.07,0.043297424387872194
2001.08,0.10930822949258213
2001.09,0.021998623463168297
2001.10,0.042890452559797745
2001.11,0.06928215590242756
2001.12,0.036897059742690065
2002.01,0.042206865513199424
2002.02,0.042926091711035314
2002.03,0.22123046149427736
2002.04,0.1940680371605777
2002.05,0.1568977105203826
2002.06,0.1166147494444409
2002.07,0.12445113042304207
2002.08,0.10770435029967342
2002.09,0.16085288393478053
2002.10,0.10221511224719533
2002.11,0.1341118927212837
2002.12,0.12470129632764097
2003.01,0.08764548132976471
2003.02,0.08813767821629273
2003.03,0.08790540892782335
2003.04,0.07680776259144916
2003.05,0.09711171942054352
2003.06,0.1002335973684426
2003.07,0.07982963399153481
2003.08,0.08327426423124833
2003.09,0.057293774196939797
2003.10,0.06578126553919934
2003.11,0.0568981301251606
2003.12,0.08126792419563737
2004.01,0.05026900727198986
2004.02,0.03581939653713279
2004.03,0.03365268516954963
2004.04,0.05911018545072111
2004.05,0.053850309067415975
2004.06,0.039110110436679
2004.07,0.026394039147086885
2004.08,0.006616851887071831
2004.09,0.010478077755207956
2004.10,0.07013634108455324
2004.11,0.039072147104403154
2004.12,0.011873940348875444
2005.01,0.029499519224075278
2005.02,0.010792303918222031
2005.03,0.027480724416647263
2005.04,-0.010405408087584955
2005.05,-0.0331655816475244
2005.06,-0.0194533282628448
2005.07,-0.05020515641829411
2005.08,-0.060129895800896026
2005.09,-0.03890697248821854
2005.10,-0.007798719015477434
2005.11,-0.02828717027695228
2005.12,0.002625417592053922
2006.01,-0.005937538814216159
2006.02,-0.041541613043514655
2006.03,-0.054228470123935675
2006.04,-0.047026333009846814
2006.05,-0.03421314279671692
2006.06,-0.04388822909532608
2006.07,0.03659623729522788
2006.08,-0.022061153025316253
2006.09,-0.04072045428712778
2006.10,-0.027031688041293637
2006.11,-0.01493122168015306
2006.12,-0.07025496840494576
2007.01,-0.050172174962167686
2007.02,0.01552810472973238
2007.03,-0.10524229494349863
2007.04,0.004718068727329087
2007.05,-0.03902071606919482
2007.06,-0.04935143958709774
2007.07,-0.0497022935918666
2007.08,0.0044502878413702355
2007.09,0.04107625138307468
2007.10,-0.004173034427019942
2007.11,0.025058272501914603
2007.12,0.13545961037850088
2008.01,0.08460515741329995
2008.02,0.15900140920195582
2008.03,0.10776898700379497
2008.04,0.09169027659066727
2008.05,0.1432454779652175
2008.06,0.11374674836168958
2008.07,0.11180611757647459
2008.08,0.11703090421774447
2008.09,0.08479464942601266
2008.10,0.1092891275030885
2008.11,0.13182592792309109
2008.12,0.11003391594420102
2009.01,0.13125477502450447
2009.02,0.15536401729936533
2009.03,0.06879628379166372
2009.04,0.05896872492973468
2009.05,0.11008235055239572
2009.06,0.11791440502994895
2009.07,0.07791442069944005
2009.08,0.05897885351403494
2009.09,0.049049023749418344
2009.10,0.08926223334497162
2009.11,0.07568647899334162
2009.12,0.07354308686832473
2010.01,0.04848615154695488
2010.02,0.057905239526201496
2010.03,0.06414201343184492
2010.04,0.029755212558147236
2010.05,0.06649661087576987
2010.06,-0.003932212416888822
2010.07,0.005399750124747826
2010.08,0.043306776568010755
2010.09,0.02339991102045819
2010.10,0.042266702607952886
2010.11,0.06018958221028464
2010.12,0.029475787467763713
2011.01,0.011014398795691757
2011.02,0.006191264750459086
2011.03,0.017777565943529663
2011.04,0.03753627842452211
2011.05,0.047557930108509616
2011.06,0.0268549361449672
2011.07,0.03551841953007036
2011.08,0.031226564997534373
2011.09,0.07851999187225998
2011.10,0.006670078239164858
2011.11,0.00696582406809915
2011.12,-0.015353073705351354
2012.01,0.004604648177762188
2012.02,0.013107401439307387
2012.03,-0.01267187164271548
2012.04,0.09527725279349437
2012.05,0.015448008800890665
2012.06,-0.005901272175182633
2012.07,-0.007134374613007817
2012.08,0.04979747554940498
2012.09,-0.020713310604893797
2012.10,0.01541220200158439
2012.11,0.016760464800211896
2012.12,0.0150906541145778
2013.01,-0.005034370365173119
2013.02,0.08223918899529796
2013.03,0.00039892916987477924
2013.04,0.05629877038408311
2013.05,0.08768625937932316
2013.06,0.11903022146004655
2013.07,0.07563102233074032
2013.08,0.17025350654843296
2013.09,0.08788153716737093
2013.10,0.09142883648980875
2013.11,0.12494822857518466
2013.12,0.12260038370960033
2014.01,0.05008828996780112
2014.02,0.12490579503644761
2014.03,0.0456585600620235
2014.04,0.09133465169623703
2014.05,0.10678632385658553
2014.06,0.07576346957826689
2014.07,0.04614876178675466
2014.08,0.06948652760869625
2014.09,0.08056683701798885
2014.10,0.10720303083212276
2014.11,0.07998181335011682
2014.12,0.05105154517593401
2015.01,0.015329581347171741
2015.02,0.10401679862536325
2015.03,0.05379267316478164
2015.04,0.02976984248526621
2015.05,-0.000463128190932223
2015.06,0.007408008964403541
2015.07,0.017135092311362295
2015.08,0.11252807454511919
2015.09,0.11452647774727288
2015.10,0.0176372898041378
2015.11,0.04403637600197274
2015.12,0.03919536422245777
2016.01,0.024082487551101307
2016.02,0.0992512804801567
2016.03,0.023705103467413502
2016.04,0.053693216983499936
2016.05,0.09408981979020074
2016.06,0.01946821089000911
2016.07,0.021492851095332027
2016.08,0.04151762449186212
2016.09,0.009922162344052047
2016.10,-0.0009836552401507287
2016.11,0.04720626528408799
2016.12,0.0103075830920579
2017.01,0.03853431159832619
2017.02,0.036900821653455686
2017.03,-0.0005040481054602348
2017.04,0.007389042832966995
